"filename", "language", "JSON", "XML", "JavaScript", "YAML", "JSON with Comments", "TypeScript", "Docker", "Ignore", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\package-lock.json", "JSON", 6328, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6329
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\package.json", "JSON", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 93
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\pnpm-lock.yaml", "YAML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\postcss.config.mjs", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\proxy.ts", "TypeScript", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 20, 12, 65
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\public\favicon.svg", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\public\logo.svg", "XML", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\public\manifest.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\tailwind.config.ts", "TypeScript", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 3, 3, 52
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 1, 42
"Total", "-", 8177, 13, 168, 4, 41, 3556, 24, 6, 19748, 789, 1501, 2929, 36956
